Category,Name,Price (INR),Discount (%),Rating,Sold By
ref=zg_bs_nav_kitchen_0,Orient Electric Arc Plus 1.5kw |Immersion water heater|100% shock proof body|Heavy copper element|With Bucket clip| ISI certified | 2 years replacement warranty,609.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Longway Magma 2000/1000 W Fan Room Heater With ISI Approved (White),799.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"NYRWANA Coffee Mug, Birthday Gift, Cups and Mugs, Mugs for Gift, Ceramic Mug, Coffee Mug with Lid, Cute Mugs with Lid & Spoon, 3D Creative Space and Astronaut Planet Coffee Mug (400ml - Dark Blue)",499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag For Clothes (54 x 46 x 28 cm) - Black, Rectangular",499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"BSB HOME Polyester Micromink Summer Ac/Mild Winter/Heavy Winter Sherpa Blanket Super Soft Flannel Solid/Plain, Blue & Grey, Size 150 X 228 Cms (Approx 4X7 Ft) (Single), 200 TC",999.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Status Contract Anti Slip Front Door Mat|(38x58cm) Living Room Rug for Entrance Door|Polypropylene Floor Mats for Home|Essential Small Rug for Office, Bedroom & Kitchen| (Blue), Rectangular",99.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"House of Quirk 1200ML Stainless Steel Tumbler Hot and Cold with Handle and Lid 2 Straw, Double Insulated Cup 100% Leak Proof Mug Cupholder for Gym, Travelling (Cotton Candy Haze)",1249.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Amazon Basics Portable Digital Weighing Scale for Kitchen | Electronic Weighing Scale With Back light LCD Display and high precision sensors | Range of 1g-10 kg (Black),369.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"BSB HOME 3D Printed 144 TC Microfiber Double Bedsheet with 2 King Size Pillow Covers (Maroon, White and Yellow Checks, 90X90 Inches)",198.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"MILTON Super 1000 Stainless Steel Water Bottle, 1000 ml water bottles, Single walled, Leak-Proof, Rust-free Steel Bottle, Easy Grip, Easy to Carry, Travel Bottle, Silver",299.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Odonil Room Air Freshener Spray - 440ml Combo (Pack of 2, 220ml each) | Lavender Mist & Jasmine Fresh | Nature Inspired Fragrance for Home & Office | Long Lasting Fragrance",199.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"SOPL-OLIVEWARE Teso Pro Lunch Box with Steel Cutlery, 3 Microwave Safe Inside Steel Containers with BPA free Lids(290ml, 450ml & 600ml), Plastic Pickle Box(130ml), Steel Water Bottle(750ml) - Blue",829.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"5 Pack Smart Saver Vacuum Bags for Travel, Space Saver Bags (1 Large/2 Medium/2 Small) Compression Storage Bags for Clothes, Bedding, Pillows, Comforters, Blankets Storage Vacuum Sealer Bags for Clothes Storage, Vaccine Sealed Compression Airtight Reusable Packing Ziplock Bag with Travelling Hand Pump",537.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"THE HOME STYLE Cotton Feel Glace Cotton Elastic Fitted Printed King Size Double Bed Bedsheet with 2 Pillow Cover(72""x78"", Pastel Green) , 300 - 350 threadcount",630.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Crompton Insta Comfy 800 Watt Room Heater with 2 Heat Settings(Grey Blue),1497.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coffee, Oats, Noodles, Soup etc. 600 Watt (Black & Silver)",849.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,JIALTO Adhesive wall Hook 10 Pack Heavy Duty Wall Hooks for Hanging Wall Decor items home decor items wall clock hanging hooks Photo Frame Hooks for Wall Without Drilling Nail Hook key holder,199.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Boldfit Water Bottles Stainless Steel Water Bottle 1 Litre Steel Water Bottles for School, Office, Home, Gym 1 Litre Water Bottle for Men Leakproof, Rust free Steel Bottle -1000 ml Water Bottle Black",329.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Havells 11 Fin Hestio Straight Fin OFR (Oil Filled Radiator)|Room Heater|2900 W|3 Heat Settings & PTC Fan Heater|Inclined Control Panel|Retractable Wheels| Comfortable Breathing|360° Heating (Black),10499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",599.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DRUNKEN Slipper For Men and Women Flip Flops Hotel Spa Massage Chappal Bedroom Carpet Slippers Sandal,284.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ASIAN Men's Wonder-13 Sports Running Shoes…,549.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Sparx Men's Slippers,250.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Doctor Ortho Slippers for Women.,399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"AIRSON AL-5 Slipper for Women | Orthopedic, Diabetic, Pregnancy | Soft Doctor Anti-Skid Slipper for Women |Slides, Flip-Flops, Slippers, Chappals | For Ladies and Girls",329.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR HEALTH SUPER SOFT Women's Flip-Flops Slippers | Flip-Flops | Women's & Girl's Slippers | Comfortable & Lightweight | Soft Foot Massager | All Day Wear Flip-Flops Slipper,699.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Doctor Slippers for Women Orthopedic Diabetic Pregnancy Non Slip Lightweight Comfortable Flat Casual Stylish Dr Chappals and House Flip flops For Ladies and Girl’s D-22,349.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,FLITE Men's Flip Flops Thong Slippers,219.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Lavie Women's Ushawu Small Satchel Bag | Ladies Purse Handbag,898.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Dr.Ortho Orthopedic Slippers | Acupressure Slippers | Flip-Flops | For Men & Women's Slippers,379.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Fargo Leatherette Side White Sling Bags For Women's Ladies,99.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Flexible Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls",854.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Men's North Running Shoe,1199.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Men's Classic Ultra Soft Sliders/Slippers with Cushion FootBed for Adult | Comfortable & Light Weight | Stylish & Anti-Skid | Waterproof & Everyday Flip Flops for Gents/Boys D-504,695.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,FLITE Women's Fl0366l Slippers,174.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Liberty Boys Gola-schv School Uniform Shoe,599.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bata 8216 Boss-Grip Black Derby Shoes for Men|Birthday Parties|Family Gatherings|School Performances|Flexible|Other Occasions,760.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,868.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Womens D-19 slipper,399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bata Women's ORTHO COMFIT LADIES Slippers,199.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,SPARX Mens Sm 675 Walking Shoe,799.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,TCCO Natural Sneaker & Shoe Cleaner Wipes - 1 Packs of 80 - Portable Sneakers Cleaner Shoe Wipes Quickly Remove Dirt & Stains - These Disposable Shoe Cleaning Wipes Can Be Used On Footwear,269.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Women's Kurstin Walking Shoe,934.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Frido Dual Gel Heavy Duty Trimmable Insoles, For Loose Shoes or Replacing Existing Insoles, Thick Shoe Inserts, Extra Comfort and Support, Proudly Made in India, (Size 8-13 UK) - Pack of 1 Pair",678.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Mens Oxyfit (N) Walking Shoes,729.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bacca Bucci FLAME Original 7-Eye Moto Inspired Mild water proof High top ankle Snow boots for Men,1709.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ASIAN Men's TARZAN-11 Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,729.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,YOHO Bubbles Women Ortho slippers | Soft comfortable and stylish flip flop slippers for Women in exciting colors |Lightweight | Anti Skid | Daily Use Chappal,490.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ZOUK Printed Women's Hand Crafted Vegan Leather Flap Sling Bag,789.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Nivia Flash 2.0 Badminton Shoes for Men | Your Go-to Shoe for Pickleball, Padel, and All Court Sports | Badminton Sports Shoes | (Blue/White/Sky Blue)",949.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ADISA Unicorn Toddler Bag Princess Fur Crossbody Handbags Gift for Girls,291.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"VRITRAZ Plush Winter Slipper, House Slipper, Flat Chappal, Warm Slippers For Boys and Mens",649.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Women's Classic Ultra Soft Sliders/Slippers with Cushion FootBed for Adult | Comfortable & Light Weight| Stylish & Anti-Skid| Waterproof & Everyday Flip Flops for Ladies/Girls D-508,599.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"ASIAN F-04 Running Shoes,Gym Shoes,Training Shoes,Walking Shoes,Sports Shoes for Men…",579.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Cherry Blossom Sports Shoe Cleaner With Free Brush - 75Ml | Cleans All Non-Leather Shoes In Minutes, White",129.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ATHCO Mens Akron Memory Foam Comfort Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Laceup|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness,699.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Centrino Mens 3392 Causal Shoes | Loafers | Moccasins | Lighweight Slip-On's | Soft Cushioned Insole | Trendy Non Lace-up Deisgn | Stylish & Comfortable,799.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"SNEAKARE Quick Shoe Cleaning Kit Shoe Cleaner & Medium Bristle Shoe Brush, White Shoe Cleaning Kit, Shoe Cleaner Kit For Sneaker,Sports Shoe Cleaner Foam Spray",299.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,BRUTON Men Sport Shoes | Running Shoes | Casual Walking Shoes | Sneakers,499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,BRUTON Exclusive Trendy Sports Running Shoes | Casual Shoe | Sneakers for Men's & Boy's,264.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Men's Classic Casual Clogs/Sandals with Adjustable Back Strap for Adult | Comfortable & Light Weight | Stylish & Anti-Skid | Waterproof & Daily Mules for Gents/Boys D-501,799.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT House Slipper for Women's Care |Orthopaedic | Diabetic | Acupressure | Comfortable | MCR | Flip-Flop Ladies and Girl’s Home Slides for Daily Use D-20,399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Fargo Stylish Textured Sling Bag for Women Ladies purse for women & girls,129.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Wolvesden Women's Home Flip-Flops & Slippers Winter Indoor Non-Slip Soft Fur Home Flip Flop Slides And Slippers Cute Bear Flip Flops for Women,399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Lightweight Memory Foam Women's Shoes | Walking,Gym,Training,Running,Casual,Sports,Athletics| Stylish,Flexible,Comfortable| Slip-On,Loafers,Lace-up,Sneaker for Ladies & Girls D-1004",899.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,BRUTON EVA Lite Sport Shoes Running Shoes for Men- Blue,499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,SPARX Men's Sport Sandal,698.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Men's First Running Shoe,1119.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,FLITE Women's Fl0342l Slippers,179.50,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Men's Classic Casual Sports Clogs/Sandals with Adjustable Back Strap for Adult | Comfortable & Lightweight| Stylish & Anti-Skid| Waterproof & Everyday Use Mules for Gents/Boys D-513,1299.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Mens Terminator (N) Running Shoes,1299.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls",749.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Slipper Care Orthopaedic and Diabetic Super Fit Comfort Doctor Slipper, Dr. Slipper, Flip-Flop, Slides and House Slipper for Men's D-24",499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Nike Mens Revolution 7 Men's Road Running Shoes Running Shoes,2808.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"VISMIINTREND Leather Backpack for Women, Stylish Bags for Girls, Shoulder Purse, Trendy Ladies Hand Bag, Daily Use, Office/Travel/College/Work/Picnic, Birthday Gift for Wife/Sister, Latest",1399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Mens Shuttle Walking Shoe,749.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ADISA Women's Girls Cross Body Sling Bag with Pouch,499.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,VRITRAZ Women's Comfort Slip On Closed Toe Warm Winter House Clog Indoor Slipper,649.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"ASIAN Men's Thar-01 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Shoes for Men's & Boy's",699.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",179.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",649.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),279.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",495.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)",1799.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",290.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",649.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",309.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"HP v236w USB 2.0 64GB Pen Drive,",399.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"amazon basics Multi Angle Desktop Foldable Stand Tablet/Mobile Stand Holder for iPhone, Android, Samsung, OnePlus, Xiaomi, Smartphones. Portable, for Your Bed,Home, Office, Home (Black)",99.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",599.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Mi Xiaomi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compatible withMi, Redmi, iPhone 15 Pro Samsung Galaxy Android Phone Laptop PD Charger Cable (White)",219.00,Not Available,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",179.00,Not Available,Not Available,Not Available
